,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Guzimi,Something Light,Something Light,5KExA1UDxPw4gJNkqoHPPd,0.731,0.364,0,-13.366,1,0.16,0.935,0.192,0.752,138.012,125217,4
1,Ruth de las Plantas,Areca,Areca,34ECimOZN65vNIEDRauhhd,0.773,0.485,4,-10.08,1,0.0366,0.876,0.126,0.412,119.963,119741,4
2,Fallen Roses,Donde Estas?,Donde Estas?,2mRYo91e0IZu9HPPAIxVAq,0.55,0.473,8,-11.806,0,0.0522,0.872,0.143,0.242,85.081,124245,4
3,Cherry Vans,Planton,Planton,0bzzv1xG2UNSTICdmG0o3e,0.734,0.336,10,-15.054,1,0.057,0.907,0.112,0.0602,80.004,150000,4
4,wallyPDF,Call Me,Call Me,34KmJ8zj9Fqq2aFWOEA5br,0.695,0.221,3,-15.575,1,0.0725,0.771,0.11,0.396,160.037,120022,4
5,B.L.U.N.T.S,La Belleza de lo Cotidiano,La Belleza de lo Cotidiano,13b0yCb3MXIg29tLhbHE7H,0.461,0.325,6,-9.826,0,0.0279,0.794,0.118,0.691,180.11,128000,4
6,Inf,World Is My Pillow,World Is My Pillow,0V2A3Wj3b7wLbEf0kLZAhn,0.68,0.367,6,-14.941,0,0.0478,0.929,0.131,0.72,113.113,104071,4
7,Kidskeep.Z,Golden lights on my bike,Golden lights on my bike,5pptoGlebGh11vKzVuda4y,0.626,0.169,11,-21.104,0,0.131,0.21,0.197,0.306,84.017,103000,4
8,High John,Flume Ride Blues,Flume Ride Blues,6looAL2s44oXuobZrNEcom,0.612,0.308,6,-19.131,1,0.0614,0.795,0.121,0.546,143.919,228620,4
9,Seaspray,Monotation,Monotation,2iXt75EraZMReN0YcioAoM,0.825,0.317,8,-11.035,0,0.0714,0.579,0.13,0.359,134.959,161289,4
10,Dpsht,hiraeth,hiraeth,5mmuH8pMKMH2LxoTarovTL,0.856,0.129,6,-13.999,0,0.379,0.915,0.115,0.476,82.055,93872,4
11,AOI,when i ate a persimmon,when i ate a persimmon,4esDDhC3v8sXQbrtUdqFsG,0.941,0.411,2,-5.999,1,0.169,0.663,0.114,0.547,130.078,124152,4
12,Epifania,Bittersweet Memories,Bittersweet Memories,6JvPLRyFyc5fnvaHnjVhIZ,0.598,0.186,2,-16.616,0,0.0428,0.94,0.106,0.143,74.022,135000,4
13,Sless Praismo,Fear & Trust,Fear & Trust,51mDrXPeJpkB5IvLuPXQZY,0.661,0.358,5,-16.862,0,0.0786,0.873,0.125,0.348,145.921,118356,4
14,Lito Akari,Umami,Umami,2awWBD8K1asrfUelSJFui5,0.554,0.44,11,-7.481,0,0.0284,0.505,0.102,0.247,144.086,119167,4
15,RUIDO,por ti,por ti,71SldLC7hOSRp2hKhmWcr0,0.69,0.222,8,-18.795,0,0.0909,0.898,0.123,0.0974,170.0,118690,4
16,Wataru Fujiwara,Mojito,Mojito,7DDlCk1cqpE8xjvo1CEsrW,0.816,0.453,7,-9.022,1,0.144,0.967,0.133,0.474,84.958,103765,4
17,Nalim,Salem,Snack,0dHS17dsh21JkDKwy49ZrE,0.811,0.431,2,-9.85,1,0.393,0.935,0.112,0.336,89.965,120059,4
18,Planetarium,Boreal,Inmersion,2enL3l6hjts4Www3YDtdcB,0.558,0.0451,1,-29.616,0,0.0289,0.875,0.11,0.117,98.986,237576,4
19,XXIII,Vanilla,Vanilla,4ORT7AWNeQ34OL7uboB43c,0.758,0.325,7,-13.899,1,0.154,0.931,0.129,0.269,148.024,123243,4
20,Florence Ada,Blossoms,Blossoms,3lUiZfl1FXEqRiemX0QdHf,0.494,0.317,0,-13.422,1,0.211,0.898,0.22,0.241,84.991,102118,4
21,Nathan Kawanishi,Chiyoda Book Stores / First Bite of Yakiniku,Chiyoda Bookstores,7xRwsyxY0Hpk3zrIpSe54e,0.606,0.567,4,-10.738,0,0.0387,0.825,0.115,0.401,134.816,104889,4
22,Cap Kendricks,Bliss,Bliss,6IpHohsQdyLeujYXbyqhk9,0.674,0.605,5,-9.108,1,0.0542,0.842,0.119,0.31,175.974,122727,4
23,Timothy Infinite,As The Sun Rises,Morning Stretch,4BfOkMlyoev0VEN5ClXMby,0.705,0.501,11,-8.953,0,0.288,0.0393,0.284,0.542,166.33,144078,4
24,wallyPDF,All I Need,All I Need,4EumqfEVsWUnL6enOFLPIE,0.506,0.291,3,-15.416,1,0.0418,0.0125,0.35,0.248,79.928,120020,4
25,Dualizm,Home,Angels,6lfVI7z6flsco36BPAeXXP,0.83,0.3,2,-10.608,1,0.0756,0.923,0.36,0.267,87.997,152727,4
26,yosev,Tanger,Tanger,56qbQWzgwBV6Djd9Yukiae,0.709,0.284,5,-10.951,1,0.0349,0.863,0.0697,0.283,89.029,151011,4
27,Kuranes,Finesse,Finesse,1jO20pEDfHbpGNeB02WRnc,0.727,0.513,2,-7.045,0,0.119,0.122,0.194,0.796,80.983,124444,4
28,Tom Doolie,Whelve,Whelve,1vjYMAt9cUzr2oMbAR94lT,0.432,0.498,0,-13.752,1,0.105,0.91,0.106,0.277,79.113,113347,4
29,lofi geek,Shining Sun (Lofi Hip Hop),Reverie,7t72V2dKD4Fkcyk2IIGoVy,0.667,0.113,6,-15.002,0,0.267,0.797,0.118,0.158,81.984,190244,4
30,Strong Maurice,Synergy,Warmer Nights,0nGWIqSxMU7jlkDTZoHDlE,0.65,0.233,2,-11.827,0,0.0437,0.745,0.108,0.063,79.943,151472,4
31,Mr Mantega,Time For Zen,Time For Zen,2RPIUFZSNK1TVytzJI1sIZ,0.824,0.446,9,-9.683,1,0.25,0.0153,0.184,0.711,140.049,144000,3
32,Skence,Mayestic Park,Ruma Sakit,3v1nSSLEcT4TB4wqFSTGW9,0.686,0.69,6,-6.201,1,0.235,0.0123,0.273,0.446,87.996,121483,4
33,AHOSHI,Retro Days,Retro Days,2MXFQr1vpjn0zydw33E6ZR,0.722,0.376,10,-13.128,1,0.0984,0.711,0.182,0.365,83.015,104198,4
34,Living Room,Summer in the Streets,Summer in the Streets,1j0ocgsF8l1m5yiVjfgmMa,0.76,0.397,10,-13.063,1,0.0926,0.832,0.118,0.831,88.997,109888,4
35,Clifford,One Hitter,One Hitter,6bQFatbO5hWuTfPwCporLP,0.659,0.51,11,-9.553,0,0.0818,0.58,0.0583,0.375,92.131,152609,4
36,Bobby Dreamz BIG,Flores,Flores,4LvzzJt1M7I0mcMB7bI8t5,0.665,0.661,6,-9.1,0,0.046,0.888,0.138,0.439,108.695,107671,3
37,Lou Filou,In Her Mind,In Her Mind,0TvJASLNEqBuPOpzsVNNMA,0.812,0.367,10,-9.292,1,0.106,0.957,0.106,0.267,150.009,102667,4
38,Oilix,Smokers Delight,Smokers Delight,2r3L8vTYNoiXVPM4G9jbpm,0.739,0.369,10,-12.759,0,0.0881,0.61,0.146,0.546,159.921,117000,4
39,Pachakuti,El Paso,El Paso,5WE5Ua25Aa4vHRzTalKcEq,0.71,0.423,0,-12.924,0,0.0325,0.895,0.102,0.647,116.042,200813,4
40,Early Garden,Busy Branches,Busy Branches,2GKQNEAMc6bQjqBHdNtlzz,0.76,0.446,5,-9.601,0,0.0476,0.849,0.103,0.194,89.971,138667,4
41,Iassu,Butterfly,Butterfly,4NNWW0MiIYdQeYhJWrMnrg,0.407,0.337,9,-12.825,0,0.0416,0.476,0.117,0.268,79.633,96000,4
42,Butler Earl,The Chateau,Chateau Manoir,2lKu78Z7WWpSCIEMxDTvu4,0.8,0.763,5,-6.231,0,0.0666,0.884,0.104,0.752,136.994,106112,4
43,ORANCHA,Mentatea,Kurumi,5pniszt2JxZLIIbrhTPrf6,0.592,0.582,2,-8.268,1,0.185,0.86,0.0891,0.366,180.106,163333,4
44,Made in M,Marino,Garnet,3aG6UBjGHkp556YEYsXAwc,0.642,0.265,0,-11.578,0,0.168,0.931,0.107,0.754,81.091,94815,4
45,Kurt Stewart,huh,huh,7HkWw9XGFZOVxF0goVoY3S,0.707,0.194,5,-14.588,0,0.0754,0.864,0.0873,0.4,81.581,94118,4
46,downstairs lantern,Flowers in Your Eyes,Something in the Water,0Trgs5CzLfcXagLE62j8AS,0.597,0.532,9,-8.575,0,0.0942,0.885,0.126,0.721,114.214,139263,4
47,Lake Valley,Sense Maker,Sense Maker,3Vd1Teq0uRyxW5wwUImAcn,0.642,0.584,10,-7.528,1,0.0368,0.796,0.088,0.052,89.985,155000,4
48,baegel,"It's Bedtime Honey, Put Your PJs On",Probably Yet Unfortunately,3nLH6CUjmqRcTViy3UeVw3,0.593,0.262,5,-8.024,1,0.0343,0.859,0.0964,0.339,80.914,126745,4
49,Los Bosques,Viento de Arrabal,Viento de Arrabal,6pO0m7Cf1AhEBKHcS4yH05,0.678,0.424,9,-11.997,0,0.065,0.851,0.0804,0.438,172.157,125581,4
