,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,DVRST,Close Eyes,Close Eyes,3CLSHJv5aUROAN2vfOyCOh,0.784,0.572,0,-9.853,1,0.0573,0.843,0.139,0.209,96.181,132346,4
1,PlayaPhonk,PHONKY TOWN,PHONKY TOWN,0BRbI3ZMPXuj9yA7ChDGOW,0.804,0.803,1,-4.673,1,0.346,0.786,0.119,0.339,125.0,141374,4
2,Dxrk ダーク,RAVE,RAVE,01kfSdF9zfcDLri5sSWEoL,0.716,0.748,8,-6.06,1,0.0356,0.849,0.114,0.338,119.918,169245,4
3,KSLV Noh,Disaster,Disaster,0PGAJ37n4O2AslZosr1YGx,0.824,0.613,0,-6.043,1,0.094,0.348,0.159,0.511,117.051,84138,4
4,WEEDMANE,SUICIDE YEAR,SUICIDE YEAR,7jVH8CXr0MSpGheHOjN4NA,0.78,0.898,11,-5.393,1,0.0426,0.00283,0.11,0.278,128.214,91732,4
5,GRAVECHILL,Twilight,Twilight,1guHCTD0uiEgTG3HOPgBmU,0.889,0.884,4,-4.323,1,0.0379,0.804,0.0999,0.789,124.003,116129,4
6,PRXSXNT FXTURE,TOKYO DRIFT,TOKYO DRIFT,733RnlYLskyvWMhhzs70sy,0.718,0.87,2,-6.227,1,0.0447,0.234,0.0869,0.129,118.937,124034,4
7,Pharmacist,North Memphis,North Memphis,3UoRLUFPhTSYqhbqSdlf1U,0.715,0.948,1,-5.531,1,0.0574,0.861,0.0609,0.951,167.374,136229,4
8,niteboi,u.,u.,0J7oHYxjF6Oln61wy0kP2i,0.463,0.653,4,-8.994,0,0.0998,0.867,0.111,0.0648,123.876,174240,4
9,Kaito Shoma,Scary Garry,Scary Garry,658QJ4p8WcbT3O7iWLpO1D,0.812,0.974,8,-2.327,1,0.227,0.512,0.582,0.064,153.979,99748,4
10,DVRST,I Hate You I Love You,I Hate You I Love You,5KgBj14914cz5SirCMvbCm,0.576,0.816,9,-5.73,1,0.138,0.173,0.242,0.33,173.942,135172,4
11,Razihel,Devil Ride,Devil Ride,1HR0lYFetVM22vVwRETZiF,0.954,0.92,1,-3.063,1,0.0415,0.284,0.114,0.232,127.948,135938,4
12,Luga,LAST ONE,LAST ONE,6XH0taXenGnqJ4qdlElbDe,0.7,0.703,1,-13.014,1,0.0992,0.872,0.297,0.669,125.068,150165,4
13,SIDRENCHIK,Toxic,Toxic,4DKFXmPUcKXEZGZumea5WE,0.795,0.81,6,-4.777,1,0.0313,0.602,0.0796,0.303,122.007,136229,4
