,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Tupperwave,Synthetic Sweetheart,100% Erotica,2mEuwWAo32Fu2YzwghiXuv,0.494,0.879,9,-7.088,0,0.101,0.45,0.129,0.375,97.287,179659,4
1,L a z u l i _ y e l l o w,Videopolis,Feel Pretty,4EkxOrI4eM3L3UxwlFXFT2,0.614,0.605,5,-11.785,0,0.0465,0.894,0.112,0.681,149.994,123067,4
2,Persona La Ave,Vapor,Vapor,1GFNpdfLwZDMCVmbRfKVK4,0.775,0.74,5,-7.202,0,0.0702,0.815,0.098,0.76,145.926,266301,4
3,FM Attack,The Never Ending Remixed,Footprints - Jasper De Ceuster Remix,5jlvkGTQAicIsOW58nncQL,0.448,0.834,11,-7.355,1,0.0312,0.891,0.134,0.348,139.984,264188,4
4,Windows 96,Empty Hiding World,Edenic Green Plus,3VdhA2Yzb5p1cSBri10ctZ,0.761,0.657,6,-7.922,0,0.0352,0.81,0.102,0.187,90.014,241837,4
5,Aexion,Kuadran 1,Kuadran 1,42aPDdRU44MwgqFRPhiiq0,0.733,0.703,4,-9.362,0,0.184,0.696,0.15,0.247,89.953,312076,4
6,ZAKERY,Hotel Metropolis,Early Morning Reminiscing,03S1pFA1P7a2lsks0ya9AS,0.777,0.817,1,-10.494,1,0.037,0.739,0.75,0.772,99.978,173143,4
7,AURAGRAPH,Instance,Instance,5To2o7kM1z1bYY43nz4VNH,0.646,0.861,8,-9.57,1,0.0629,0.926,0.104,0.326,174.02,212911,4
8,Donor Lens,Miracle Lounge มิราเคิล เลานจ์ (Remastered) [Remastered 2022],The Moment - Remastered 2022,34TDvXehrqOzsXVuhoNB9b,0.577,0.887,10,-8.457,0,0.0741,0.872,0.909,0.674,142.911,115007,4
9,Dan Mason ダン·メイソン,Fountain View,Fountain view,5QBnJie0aPVzqtTU6esD7x,0.439,0.305,3,-15.522,0,0.0328,0.99,0.141,0.0385,99.982,268800,4
10,Gogi 93,Please Hold,Please Hold,47iyuS6SSG9h9W2pGn0xqp,0.514,0.79,9,-7.145,0,0.0291,0.93,0.188,0.409,115.989,205000,4
11,INTERACTIVE CO.,Supergrafx,Lemon-Wheel,6Rd1X6kQ922z6oMTr7f2nW,0.515,0.919,1,-5.552,1,0.0504,0.815,0.114,0.444,156.018,162000,4
12,Stux.Io,Voxel,Voxel,484QfYrwJrWjsXKUFBzxJi,0.506,0.757,1,-6.012,0,0.0462,0.158,0.358,0.267,94.939,184421,4
13,Yuni Wa,New Retro,New Retro,37b26eoNGK3OANuMwoEMOT,0.536,0.816,1,-6.564,1,0.0379,0.00768,0.54,0.745,90.003,213389,4
14,VANITAS命死,Yakuza Organized ✓,"extortion, money-laundering, prostitution, gambling",2aXAYMqFzA3UQNvr8izEHo,0.336,0.545,11,-13.574,1,0.107,0.919,0.179,0.298,99.977,362886,4
15,Tupperwave,Synthetic Sweetheart,Pretty City,0o3ppJpi5xKnUfB8XTw9iD,0.612,0.788,7,-6.512,0,0.0483,0.769,0.621,0.761,79.653,194962,4
16,L a z u l i _ y e l l o w,Videopolis,Soul-Vibration,2vI9HFvmIiD7s21wjUeLFg,0.638,0.453,11,-11.904,0,0.0356,0.926,0.116,0.671,75.77,136093,4
17,Subaeris,New Tokyo Blue Mood 東京,Jazz Mind ジャズ,3Jk8O0NBb5QrZN8Al15P7I,0.29,0.7,0,-5.411,1,0.0476,0.0022,0.477,0.035,112.281,284016,1
18,猫 シ Corp.,Hiraeth,Aquascaping ピ ラ ミ ッ ド,3JWklyImki98eVMPDMWH1y,0.529,0.861,7,-10.294,1,0.0507,0.919,0.462,0.967,158.921,74000,4
19,Infinity Frequencies,Shrines,Clouds,5nkcbgmplCt5Gyc9aqmTq8,0.62,0.994,9,-2.999,0,0.0503,0.992,0.347,0.92,108.719,77375,4
20,Stux.Io,Aero,Aero,62DG7L7wk7PMjXQpHSB5UU,0.442,0.821,1,-3.051,0,0.0295,0.767,0.397,0.102,168.104,233571,4
21,Tupperwave,Tupperwave,Alliance Of Elegance,1BEyLRogl5KlaTWxogZPH1,0.754,0.72,0,-7.427,1,0.0463,0.904,0.105,0.761,137.92,166962,4
